id,isolate,country,year,'mtrR,NEIS1753(PenA),NG_23S,NG_gyrA,NG_parC,NG_ponA,NG_porB,ST(NG STAR),CC(NG STAR)
155494,MP12-MUS-046,South Africa,2012,5,294,100,1,90,100,100,,
155495,MP12-MUS-047,South Africa,2012,10,5217,100,100,2,100,13,,
155496,MP12-MUS-048,South Africa,2012,25,166,100,1,4,100,8,438,
155497,MP12-MUS-050,South Africa,2012,254,228,100,7,15,1,13,3408,1096
155498,MP12-MUS-051,South Africa,2012,10,23,100,100,100,1,3,,
155499,MP12-MUS-053,South Africa,2012,,228,100,100,1,100,100,,
155500,MP12-MUS-055,South Africa,2012,277,294,100,1,4,100,13,4735,
155501,MP12-MUS-056,South Africa,2012,171,3123,100,1,100,100,3,,
155502,MP12-MUS-057,South Africa,2012,171,294,100,1,90,100,3,1758,
155503,MP12-MUS-059,South Africa,2012,18,228,100,7,20,1,100,1628,1632
155504,MP12-MUS-060,South Africa,2012,,294,100,100,100,100,100,,
155508,MP12-MUS-066,South Africa,2012,10,285,100,1,22,1,13,2717,958
155509,MP12-MUS-069,South Africa,2012,10,285,100,1,22,1,13,2717,958
155510,MP12-MUS-074,South Africa,2012,171,294,100,1,90,100,3,1758,
155511,MP12-MUS-078,South Africa,2012,5,294,100,1,90,100,100,,
155512,MP12-MUS-079,South Africa,2012,10,294,100,100,89,1,100,1760,352
155513,KN13-MUS-001,South Africa,2013,277,294,100,1,4,100,13,4735,
155514,KN13-MUS-003,South Africa,2013,18,228,100,7,15,1,13,1643,1096
155515,KN13-MUS-014,South Africa,2013,10,294,100,22,1,100,100,,
155516,KN13-MUS-073,South Africa,2013,,285,100,1,49,1,13,,
155517,KN13-MUS-075,South Africa,2013,69,285,100,1,22,1,100,1496,958
155518,KN13-MUS-076,South Africa,2013,36,494,100,100,1,1,11,,
155519,KN13-MUS-078,South Africa,2013,10,285,100,1,49,1,14,1593,1054
155520,KN13-MUS-079,South Africa,2013,18,228,100,7,15,1,3,5205,1632
155521,KN13-MUS-088,South Africa,2013,383,285,100,1,22,1,13,3426,958
155522,KN13-MUS-090,South Africa,2013,383,285,100,1,22,1,13,3426,958
155523,KN13-MUS-098,South Africa,2013,10,166,100,100,89,100,13,,
155524,KN13-MUS-106,South Africa,2013,18,228,100,1,15,1,100,1753,1632
155525,KN13-MUS-111,South Africa,2013,18,228,100,7,55,1,100,1625,1632
155526,KN13-MUS-120,South Africa,2013,503,285,100,1,49,1,14,,
155527,KN13-MUS-129,South Africa,2013,10,23,100,1,4,1,100,1627,1771
155528,KN13-MUS-131,South Africa,2013,18,228,100,7,20,1,100,1628,1632
155529,KN13-MUS-132,South Africa,2013,503,285,100,1,49,1,14,,
155530,KN13-MUS-137,South Africa,2013,69,285,100,1,22,1,19,1623,958
155531,KN13-MUS-140,South Africa,2013,1,3248,100,1,4,1,3,,
155532,KN13-MUS-141,South Africa,2013,,228,100,7,15,1,100,,
155533,KN13-MUS-143,South Africa,2013,18,228,100,7,15,1,100,1632,1632
155534,KN13-MUS-145,South Africa,2013,10,294,100,100,2,100,13,269,42
155535,KN13-MUS-180,South Africa,2013,383,285,100,1,22,1,3,,
155536,KN13-MUS-197,South Africa,2013,10,23,100,1,4,1,100,1627,1771
155537,KN13-MUS-200,South Africa,2013,18,228,100,7,15,1,100,1632,1632
155538,KN13-MUS-202,South Africa,2013,10,3248,100,1,22,1,13,,
155539,15MUS-GQ003,South Africa,2015,387,2993,100,100,1,100,100,3434,20
155540,15MUS-GQ005,South Africa,2015,5,166,100,100,100,100,100,,
155541,15MUS-GQ006,South Africa,2015,503,285,100,1,49,1,14,,
155542,15MUS-GQ007,South Africa,2015,69,285,100,1,22,1,100,1496,958
155543,15MUS-GQ009-1,South Africa,2015,503,285,100,1,49,1,14,,
155544,15MUS-GQ009-2,South Africa,2015,503,285,100,1,49,1,14,,
155545,15MUS-GQ040,South Africa,2015,276,20,100,100,2,100,100,,
155546,15MUS-GQ047,South Africa,2015,,23,100,100,100,100,14,,
155547,15MUS-GQ049,South Africa,2015,54,515,100,100,2,100,19,,
155548,15MUS-GQ053,South Africa,2015,503,285,100,1,49,1,14,,
155549,15MUS-GQ151,South Africa,2015,5,18,100,100,1,100,13,,
155550,14MUS-JO004,South Africa,2014,10,294,100,100,100,100,100,5204,352
155551,14MUS-JO006,South Africa,2014,18,228,100,7,15,1,13,1643,1096
155552,14MUS-JO009,South Africa,2014,10,23,100,1,89,1,100,3413,1054
155553,14MUS-JO011,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155554,14MUS-JO015,South Africa,2014,18,228,100,7,26,100,14,,
155555,14MUS-JO017,South Africa,2014,10,294,12,100,7,100,14,,
155556,14MUS-JO020,South Africa,2014,709,228,100,100,1,100,100,,
155557,14MUS-JO027,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155558,14MUS-JO028,South Africa,2014,10,294,100,100,2,100,14,357,42
155559,14MUS-JO029,South Africa,2014,10,20,100,100,2,100,100,,
155560,14MUS-JO030,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155561,14MUS-JO033,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155562,14MUS-JO037,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155563,14MUS-JO038,South Africa,2014,,23,100,1,4,1,14,,
155564,14MUS-JO040,South Africa,2014,54,228,100,100,1,100,100,1645,20
155565,14MUS-JO041,South Africa,2014,10,23,100,1,4,1,100,1627,1771
155566,14MUS-JO045,South Africa,2014,10,294,100,7,22,1,13,1603,1603
155567,14MUS-JO055,South Africa,2014,54,294,100,100,2,100,100,2577,1958
155568,14MUS-JO060,South Africa,2014,11,23,100,1,4,1,4,,
155569,14MUS-JO064,South Africa,2014,18,228,100,7,15,1,14,1304,1632
155570,14MUS-JO066,South Africa,2014,18,228,100,7,20,1,100,1628,1632
155571,14MUS-JO067,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155572,14MUS-JO068,South Africa,2014,18,228,100,7,15,1,3,5205,1632
155573,14MUS-JO076,South Africa,2014,277,294,100,1,4,100,13,4735,
155574,14MUS-JO077,South Africa,2014,18,266,100,1,3,1,11,,
155575,14MUS-JO078,South Africa,2014,10,294,100,100,89,1,37,,
155576,14MUS-JO084,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155577,20MUS-AH002,South Africa,2020,69,23,100,7,4,100,3,5642,426
155578,20MUS-AH004,South Africa,2020,18,228,100,7,15,1,19,,
155579,20MUS-AH005,South Africa,2020,69,285,100,1,22,1,19,1623,958
155580,20MUS-AH007,South Africa,2020,383,285,100,1,15,1,100,,
155581,20MUS-AH008,South Africa,2020,69,285,100,1,22,1,19,1623,958
155582,20MUS-AH010,South Africa,2020,,166,100,100,89,1,100,,
155583,20MUS-AH011,South Africa,2020,69,285,100,1,22,1,19,1623,958
155584,20MUS-AH012,South Africa,2020,18,228,100,7,26,1,100,,
155585,20MUS-AH013,South Africa,2020,18,228,100,7,15,1,100,1632,1632
155586,20MUS-AH017,South Africa,2020,18,228,100,7,49,1,100,5822,1632
155587,20MUS-AH021,South Africa,2020,711,294,100,32,4,100,13,,
155588,20MUS-AH022,South Africa,2020,40,23,100,7,4,100,3,1938,426
155589,20MUS-AH023,South Africa,2020,40,23,100,7,4,100,100,427,427
155590,20MUS-AH027,South Africa,2020,1,228,100,100,2,100,100,,
155591,20MUS-AH030,South Africa,2020,711,166,100,7,20,100,100,,
155592,20MUS-AH032,South Africa,2020,10,166,100,7,20,100,13,,
155593,20MUS-AH034,South Africa,2020,130,294,100,100,2,100,3,520,520
155594,20MUS-AH036,South Africa,2020,475,23,100,1,4,1,100,,
155595,20MUS-AH037,South Africa,2020,,228,100,7,20,1,100,,
155596,20MUS-AH039,South Africa,2020,18,228,100,7,15,1,100,1632,1632
155597,20MUS-AH040,South Africa,2020,69,285,100,1,49,1,100,,
155598,20MUS-AH042,South Africa,2020,277,294,100,1,4,100,13,4735,
155599,20MUS-AH044-1,South Africa,2020,69,23,100,100,2,100,100,1835,1958
155600,20MUS-AH044-2,South Africa,2020,69,23,100,100,2,100,100,1835,1958
155601,20MUS-AH045,South Africa,2020,40,23,100,7,4,100,3,1938,426
155602,20MUS-AH052,South Africa,2020,703,294,100,100,2,100,3,,
155603,20MUS-AH053,South Africa,2020,40,23,100,7,4,100,100,427,427
155604,20MUS-AH054,South Africa,2020,40,23,100,7,4,100,100,427,427
155605,20MUS-AH055,South Africa,2020,197,294,100,100,2,100,3,,
155606,20MUS-AH057,South Africa,2020,40,23,100,7,4,100,100,427,427
155607,20MUS-AH061,South Africa,2020,10,294,100,1,4,100,3,,
155608,20MUS-AH063,South Africa,2020,10,294,,100,2,100,14,,
155609,20MUS-AH065,South Africa,2020,54,294,100,1,90,100,100,3404,1362
155610,20MUS-AH067,South Africa,2020,610,294,100,1,4,100,4,5664,
155611,20MUS-AH074,South Africa,2020,69,23,100,100,2,100,100,1835,1958
155612,20MUS-AH080,South Africa,2020,69,285,100,1,22,1,19,1623,958
155613,20MUS-AH081,South Africa,2020,130,294,100,100,2,100,3,520,520
155614,20MUS-AH083,South Africa,2020,69,23,100,7,4,100,3,5642,426
155615,20MUS-AH084,South Africa,2020,54,294,100,1,90,100,100,3404,1362
155616,20MUS-AH085-1,South Africa,2020,69,285,100,1,22,1,19,1623,958
155617,20MUS-AH085-2,South Africa,2020,69,285,100,1,22,1,19,1623,958
155618,20MUS-AH095,South Africa,2020,171,294,100,1,4,100,3,1626,
155619,20MUS-AH096,South Africa,2020,69,23,100,100,2,100,100,1835,1958
155620,20MUS-AH098-1,South Africa,2020,18,23,100,1,18,100,100,464,896
155621,20MUS-AH098-2,South Africa,2020,18,23,100,1,18,100,100,464,896
155622,20MUS-AH103,South Africa,2020,25,166,100,1,4,100,8,438,
155623,20MUS-AH104,South Africa,2020,10,294,100,100,2,100,100,463,352
155624,20MUS-AH105,South Africa,2020,40,23,100,7,4,100,100,427,427
155625,20MUS-AH108,South Africa,2020,40,23,100,7,4,100,100,427,427
155626,20MUS-AH110-1,South Africa,2020,1,228,100,100,2,1,11,,
155627,20MUS-AH110-2,South Africa,2020,1,228,100,100,2,1,11,,
155628,20MUS-AH112,South Africa,2020,10,285,100,1,22,100,100,5823,1271
155629,20MUS-AH114,South Africa,2020,69,285,100,1,22,1,19,1623,958
155630,20MUS-AH117,South Africa,2020,18,,100,7,20,1,19,,
155631,20MUS-AH121,South Africa,2020,10,285,100,1,49,1,14,1593,1054
155632,20MUS-AH122,South Africa,2020,10,228,100,7,15,1,100,455,309
155633,20MUS-AH124,South Africa,2020,18,228,100,7,15,1,100,1632,1632
155634,20MUS-AH125,South Africa,2020,69,23,100,7,4,100,3,5642,426
155635,20MUS-AH127,South Africa,2020,69,285,100,1,22,1,19,1623,958
155636,20MUS-AH129,South Africa,2020,9,166,100,100,100,100,1,63,63
155637,20MUS-AH135,South Africa,2020,54,294,100,1,90,100,100,3404,1362
155638,20MUS-AH138,South Africa,2020,69,285,100,1,22,1,19,1623,958
155639,20MUS-AH139,South Africa,2020,10,23,100,1,4,100,100,1771,1771
155640,20MUS-AH141,South Africa,2020,171,166,100,1,90,100,100,1972,
155641,20MUS-AH143,South Africa,2020,10,166,100,7,20,100,19,5195,4353
155642,20MUS-AH144,South Africa,2020,163,294,100,100,7,100,100,,
155643,20MUS-AH145,South Africa,2020,,23,100,7,4,100,100,,
155644,20MUS-AH146,South Africa,2020,54,294,100,1,90,100,100,3404,1362
155645,20MUS-AH148,South Africa,2021,5,228,100,1,15,1,14,,
155646,21MUS-AH003,South Africa,2021,18,228,100,7,15,1,14,1304,1632
155647,21MUS-AH004,South Africa,2021,546,294,100,1,4,100,13,,
155648,21MUS-AH008,South Africa,2021,171,294,100,1,4,100,3,1626,
155649,21MUS-AH010,South Africa,2021,69,285,100,1,22,1,19,1623,958
155650,21MUS-AH012,South Africa,2021,,23,100,1,3,100,14,,
155651,21MUS-AH016,South Africa,2021,10,294,100,100,2,100,14,357,42
155652,21MUS-AH017,South Africa,2021,18,228,100,7,15,1,100,1632,1632
155653,21MUS-AH018,South Africa,2021,18,166,100,22,7,1,100,,
155654,21MUS-AH021-R,South Africa,2021,25,166,1,1,4,100,100,4322,
155655,21MUS-AH022,South Africa,2021,18,228,100,7,15,1,100,1632,1632
155656,21MUS-AH024,South Africa,2021,610,294,100,1,4,100,4,5664,
155657,21MUS-AH025,South Africa,2021,10,294,100,100,2,100,14,357,42
155658,21MUS-AH027,South Africa,2021,69,23,100,100,2,100,100,1835,1958
155659,21MUS-AH028,South Africa,2021,40,23,100,7,4,100,100,427,427
155660,21MUS-AH031,South Africa,2021,69,285,100,1,22,1,19,1623,958
155661,21MUS-AH036,South Africa,2021,69,285,100,1,22,1,19,1623,958
155662,21MUS-AH039,South Africa,2021,568,294,100,1,4,100,13,,
155663,21MUS-AH042,South Africa,2021,171,166,100,1,90,100,13,4728,
155665,21MUS-AH052,South Africa,2021,18,228,100,7,15,1,14,1304,1632
155666,21MUS-AH053,South Africa,2021,69,23,100,100,2,100,100,1835,1958
155667,21MUS-AH055,South Africa,2021,54,23,100,1,4,100,100,577,1771
155668,21MUS-AH056,South Africa,2021,69,285,100,1,22,1,73,,
155669,21MUS-AH057,South Africa,2021,10,23,100,7,4,100,14,,
155670,21MUS-AH061,South Africa,2021,130,294,100,100,2,100,3,520,520
155671,21MUS-AH065,South Africa,2021,1,23,100,100,89,1,100,,
155672,21MUS-AH071,South Africa,2021,10,294,100,1,4,100,13,5508,1771
155673,21MUS-AH072,South Africa,2021,10,294,100,1,4,100,13,5508,1771
155674,21MUS-AH073,South Africa,2021,18,23,100,7,4,100,14,,
155675,21MUS-AH074,South Africa,2021,54,228,,100,1,100,100,,
155676,21MUS-AH077,South Africa,2021,5,228,100,7,20,1,100,,
155677,21MUS-AH078,South Africa,2021,54,294,100,1,90,100,100,3404,1362
155678,21MUS-AH084,South Africa,2021,383,285,100,1,22,1,14,,
155679,21MUS-AH090,South Africa,2021,54,23,100,7,4,100,100,5817,427
155680,21MUS-AH091,South Africa,2021,383,285,100,1,22,1,13,3426,958
155681,21MUS-AH093,South Africa,2021,,285,100,1,22,1,19,,
155682,21MUS-AH095,South Africa,2021,40,23,100,7,4,100,100,427,427
155683,21MUS-AH098,South Africa,2021,10,166,100,7,20,100,100,1274,4353
155684,21MUS-AH100,South Africa,2021,383,285,100,1,22,1,100,,
155685,21MUS-AH101,South Africa,2021,18,228,100,7,15,1,13,1643,1096
155686,21MUS-AH105-R,South Africa,2021,568,294,2,1,4,100,13,5242,
155687,21MUS-AH106,South Africa,2021,40,23,100,7,4,100,100,427,427
155688,21MUS-AH109,South Africa,2021,69,285,100,1,22,1,19,1623,958
155689,21MUS-AH111,South Africa,2021,712,166,100,7,20,100,100,,
155690,21MUS-AH113,South Africa,2021,18,228,100,7,20,1,100,1628,1632
155691,21MUS-AH114,South Africa,2021,54,294,100,1,90,100,100,3404,1362
155692,21MUS-AH115,South Africa,2021,10,294,100,47,7,1,13,,
155693,21MUS-AH119,South Africa,2021,383,285,100,1,22,1,13,3426,958
155694,21MUS-AH122,South Africa,2021,10,294,100,1,4,100,13,5508,1771
155695,21MUS-AH125,South Africa,2021,25,166,1,1,4,100,100,4322,
155696,21MUS-AH126,South Africa,2021,10,294,100,100,2,100,13,269,42
155697,21MUS-AH127,South Africa,2021,,23,100,100,2,100,100,,
155698,21MUS-AH130,South Africa,2021,40,23,100,7,4,100,14,2593,426
155699,21MUS-AH131,South Africa,2021,69,285,100,1,22,1,100,1496,958
155701,21MUS-AH133,South Africa,2021,40,23,100,7,4,100,100,427,427
155702,21MUS-AH134,South Africa,2021,69,23,100,7,4,100,3,5642,426
155703,21MUS-AH136,South Africa,2021,40,23,100,7,4,100,13,426,426
155704,21MUS-AH137,South Africa,2021,69,23,100,100,2,100,100,1835,1958
155705,21MUS-AH138,South Africa,2021,,23,100,1,3,100,14,,
155706,21MUS-AH139,South Africa,2021,18,228,100,7,15,1,14,1304,1632
155707,21MUS-AH140,South Africa,2021,40,23,100,7,4,100,100,427,427
155710,21MUS-AH148,South Africa,2021,69,285,100,1,22,1,100,1496,958
155711,21MUS-AH150,South Africa,2021,,228,100,7,89,1,100,,
155712,21MUS-AH151,South Africa,2021,69,23,100,100,2,100,100,1835,1958
155714,21MUS-AH153-2,South Africa,2021,9,166,100,100,2,100,1,184,63
155718,21MUS-AH164,South Africa,2021,18,228,100,7,20,1,100,1628,1632
155719,21MUS-AH165,South Africa,2021,568,294,2,1,4,100,13,5242,
155720,21MUS-AH166,South Africa,2021,69,285,100,1,22,1,19,1623,958
155722,21MUS-AH168,South Africa,2021,10,23,100,100,89,1,14,,
155723,21MUS-AH169-1,South Africa,2021,69,23,100,7,4,100,3,5642,426
155725,21MUS-AH171,South Africa,2021,171,166,100,1,90,100,13,4728,
155726,21MUS-AH174,South Africa,2021,69,23,100,7,4,100,3,5642,426
155728,21MUS-AH183,South Africa,2021,69,23,100,7,4,100,100,5212,427
155729,21MUS-AH185,South Africa,2021,171,166,100,1,90,100,100,1972,
155730,21MUS-AH187,South Africa,2021,130,294,100,100,2,100,3,520,520
155733,21MUS-AH195,South Africa,2021,69,23,100,100,2,100,100,1835,1958
155734,21MUS-AH196,South Africa,2021,,294,100,100,2,100,13,,
155735,21MUS-AH198,South Africa,2021,18,23,100,7,4,100,100,,
155738,21MUS-AH202,South Africa,2021,54,,100,100,1,100,100,,
155741,21MUS-AH205,South Africa,2021,10,166,100,7,20,100,100,1274,4353
155742,21MUS-AH209,South Africa,2021,173,21,100,7,8,1,3,,
155743,21MUS-AH210,South Africa,2021,10,294,100,1,,1,14,,
155744,21MUS-AH216,South Africa,2021,18,228,100,7,15,1,100,1632,1632
155748,21MUS-AH223-2,South Africa,2021,18,228,100,7,20,1,100,1628,1632
155749,15MUS-PI001,South Africa,2015,238,285,100,1,22,1,100,1767,958
155750,15MUS-PI002,South Africa,2015,69,285,100,1,22,1,19,1623,958
155751,15MUS-PI003,South Africa,2015,69,285,100,1,22,1,100,1496,958
155752,15MUS-PI004,South Africa,2015,18,228,100,7,15,1,100,1632,1632
155753,15MUS-PI005-WGS,South Africa,2015,105,294,100,100,100,100,13,1637,
155754,15MUS-PI006,South Africa,2015,10,228,100,7,15,1,100,455,309
155755,15MUS-PI007,South Africa,2015,486,228,100,100,1,100,100,,
155756,15MUS-PI011,South Africa,2015,10,23,100,1,4,1,4,1639,1771
155757,15MUS-PI016,South Africa,2015,18,228,100,7,15,1,100,1632,1632
155758,20MUS-AH109,South Africa,2020,,23,100,7,4,100,3,,
155759,15MUS-PI020,South Africa,2015,10,294,100,1,2,100,13,,
155760,15MUS-PI025,South Africa,2015,10,23,100,100,89,1,100,1654,2035
155761,15MUS-PI026,South Africa,2015,69,285,100,1,22,1,19,1623,958
155762,15MUS-PI029,South Africa,2015,18,228,100,1,22,1,100,1642,1632
155763,15MUS-PI030,South Africa,2015,54,228,100,7,15,1,100,1641,309
155764,15MUS-PI036,South Africa,2015,54,515,100,1,2,100,100,1640,1958
155767,15MUS-PI048,South Africa,2015,18,228,100,7,15,1,100,1632,1632
155768,15MUS-PI056,South Africa,2015,18,228,100,7,15,1,13,1643,1096
155769,15MUS-PI063-WGS,South Africa,2015,10,23,100,22,49,100,13,1644,
155770,15MUS-PI064,South Africa,2015,89,23,100,1,4,1,100,,
155772,15MUS-PI066,South Africa,2015,239,294,,1,4,100,13,,
155773,15MUS-PI067,South Africa,2015,470,228,100,7,15,1,100,,
155774,15MUS-PI068,South Africa,2015,10,294,100,100,100,100,13,,
155775,15MUS-PI076,South Africa,2015,10,228,100,7,15,1,100,455,309
155776,15MUS-PI077,South Africa,2015,18,3135,100,7,20,1,100,1768,1632
155777,15MUS-PI078,South Africa,2015,25,166,100,1,4,100,8,438,
155778,15MUS-PI080,South Africa,2015,10,294,100,7,18,100,3,1646,42
155779,15MUS-PI082,South Africa,2015,69,285,100,1,22,1,19,1623,958
155780,15MUS-PI089,South Africa,2015,54,228,,100,1,100,100,,
155781,15MUS-PI091-WGS,South Africa,2015,10,166,100,6,4,100,14,1647,
155782,15MUS-PI092-WGS,South Africa,2015,171,294,100,1,90,100,3,1758,
155783,15MUS-PI093,South Africa,2015,69,285,100,1,22,1,100,1496,958
155784,15MUS-PI095,South Africa,2015,171,23,100,1,90,100,100,1769,1771
155785,15MUS-PI097,South Africa,2015,10,294,100,100,4,100,13,1648,42
155787,15MUS-PI099,South Africa,2015,1,228,100,1,49,1,14,1650,
155788,15MUS-PI100,South Africa,2015,18,228,100,7,15,1,100,1632,1632
155789,15MUS-PI103,South Africa,2015,69,285,100,1,22,1,100,1496,958
155791,15MUS-PI105,South Africa,2015,54,228,100,100,1,100,14,1973,
155792,15MUS-PI107,South Africa,2015,171,294,100,1,90,100,13,1833,
155793,15MUS-PI110,South Africa,2015,69,285,100,1,22,1,19,1623,958
155794,15MUS-PI111,South Africa,2015,10,23,100,1,4,1,100,1627,1771
155795,15MUS-PI112,South Africa,2015,18,285,100,7,15,1,13,1652,1096
155796,18MUS-KM003,South Africa,2018,,538,100,100,89,100,13,,
155797,18MUS-KM009,South Africa,2018,10,294,100,1,4,100,3,,
155798,18MUS-KM012,South Africa,2018,54,515,100,100,2,100,100,1749,1958
155799,18MUS-KM013,South Africa,2018,10,3515,,100,89,100,100,,
155801,18MUS-KM021,South Africa,2018,10,294,100,100,89,1,37,,
155802,18MUS-KM024,South Africa,2018,69,285,100,1,22,1,19,1623,958
155803,18MUS-KM025,South Africa,2018,5,228,100,7,15,1,13,4413,1096
155804,18MUS-KM026,South Africa,2018,18,228,100,7,15,1,100,1632,1632
